3	-0.2999	-0.5154
0	-2.6016	-2.7949
1	1.2953	1.1198
2	2.0721	1.8975
3	-0.2999	-0.4633
0	-2.4210	-2.7443
1	1.4445	1.1704
2	2.2216	1.9405
3	-0.1455	-0.4418
0	-2.4210	-2.6875
1	1.4445	1.2211
2	2.2216	1.9957
3	-0.1455	-0.3896
0	-2.2877	-2.6645
1	1.5279	1.2395
2	2.3079	2.0249
3	-0.0543	-0.3804
0	-1.8657	-2.6216
1	1.6345	1.2885
2	2.4761	2.0632
3	0.1635	-0.3129
0	-1.8657	-2.5663
1	1.6345	1.3177
2	2.4761	2.1000
3	0.1635	-0.2899
0	-2.0867	-2.4850
1	1.8884	1.3637
2	2.6589	2.1844
3	0.2949	-0.2178
0	-2.0867	-2.3040
1	1.8884	1.4573
2	2.6589	2.2672
3	0.2949	-0.1396
0	-1.8531	-2.1829
1	2.2059	1.4895
2	2.9120	2.3286
3	0.5360	-0.0475
0	-1.8531	-2.1062
1	2.2059	1.6138
2	2.9120	2.4068
3	0.5360	0.0537
0	-1.7490	-2.0571
1	2.8101	1.7104
2	3.0917	2.4697
3	0.6778	0.1012
0	-1.6364	-2.0172
1	0.0525	1.7825
2	0.0032	2.6016
3	0.7552	0.1979
0	-1.6364	-1.9466
1	0.0525	1.9712
2	0.0032	2.7581
3	0.7552	0.2792
0	-1.4155	-1.8899
1	2.7054	2.1062
2	0.0944	2.8348
3	0.9143	0.4510
0	-1.2640	-1.7871
1	2.6435	2.4314
2	0.3252	2.9498
3	1.0984	0.5384
0	-1.2640	-1.7518
1	2.6435	2.5495
2	0.3252	2.9775
3	1.0984	0.5891
0	-1.1422	-1.6414
1	2.7810	2.6967
2	0.4349	3.0557
3	1.2157	0.6719
0	-1.1422	-1.5294
1	2.7810	2.7121
2	-2.7067	-3.1171
3	1.2157	0.7563
0	-1.1194	-1.4573
1	2.8001	2.7090
2	-2.6761	-3.0265
3	1.2404	0.8682
0	-0.9783	-1.3284
1	2.8953	2.7090
2	-2.3207	-2.9744
3	1.4144	0.9787
0	-0.9783	-1.2517
1	2.8953	2.7152
2	-2.3207	-2.8885
3	1.4144	1.0723
0	-0.9426	-1.2042
1	2.9307	2.7351
2	-2.2206	-2.8072
3	1.4532	1.1536
0	-0.9426	-1.1413
1	2.9307	2.7596
2	-2.2206	-2.7213
3	1.4532	1.2119
0	-0.8763	-1.0830
1	2.9939	2.7750
2	-1.9055	-2.5848
3	1.5277	1.2885
0	-0.8245	-1.0216
1	3.0504	2.8041
2	-1.4616	-2.5111
3	1.5801	1.3484
0	-0.8245	-0.9833
1	3.0504	2.8379
2	-1.4616	-2.3899
3	1.5801	1.4005
0	-0.7590	-0.9618
1	3.1195	2.8655
2	2.8495	-2.2519
3	1.6481	1.4358
0	-0.7590	-0.9495
